table_name,event_date,user_pseudo_id,advertising_id,app_version,platform,country,online_time,max_level,engagement_time_msec,ga_session_id,ga_session_number,event_name,product_id_iap,rev_iap,rev_iaa,placement,ad_source,ad_format,install_date
IAA,7/31/2025,c7ea2ab7f53f979a04909fb9db66c9a2,37dfea7d-b740-4eb0-8e3c-bcf04a2b843f,3.1.1,ANDROID,Senegal,70618,25,,1753917980,29,ad_impression,,0,0.000732946,AdsChangeFahion,Google AdMob,REWARDED,7/17/2025
IAA,8/9/2025,decc3d2ac5c7b313af9d1b34394acf7d,384d6df8-5603-41d8-8da9-ae572c9cd702,3.1.1,ANDROID,Poland,626885,262,,1754694769,86,ad_impression,,0,0.003693152,Ads_NMC,Unity Ads,REWARDED,7/14/2025
IAA,7/26/2025,3b3d12db6ed43e0ae45a5d0659442f79,39b9e549-5212-4c77-8ac4-acf870985d1c,3.1.1,ANDROID,Türkiye,1079,5,,1753546060,2,ad_impression,,0,0.0034638,AdsChangeFahion,Mintegral,REWARDED,7/26/2025
IAA,8/10/2025,b9b0860c012c8af465d28b40d6a9a061,3f7166c8-f377-4703-a08a-60d152a62379,3.1.1,ANDROID,India,403316,110,,1754802148,48,ad_impression,,0,0.000499628,AdsChangeFahion,Google AdMob,REWARDED,7/20/2025
IAA,8/4/2025,d1be8884072b1976cc1d46f47201206b,40a94477-bdf6-4849-910b-c04eaaf282f8,3.1.1,ANDROID,Egypt,697,6,,1754243807,1,ad_impression,,0,0.001549786,AdsChangeFahion,Google AdMob,REWARDED,8/4/2025
IAA,8/4/2025,5ce054b2b4fe8af7a35b30ac76997c8b,4568a577-07ea-4664-9444-79c0e76c7017,3.1.1,ANDROID,Burkina Faso,2307,8,,1754267800,2,ad_impression,,0,0.0015413,AdsChangeFahion,Mintegral,INTER,8/1/2025
IAA,7/15/2025,ed57562f9a5876deac6601a856f96592,472b96a5-febe-4ab6-ab1c-9fb47461f3a4,3.1.1,ANDROID,Russia,2196218,401,,1752540804,114,ad_impression,,0,0.000526435,AdsChangeFahion,Unity Ads,REWARDED,7/9/2025
IAA,7/19/2025,bdb3142d4fb9e20ca00f27c39afa6439,4d227780-0c87-41d4-b7bf-fc6c552344b7,3.1.1,ANDROID,Guadeloupe,1109614,189,,1752929662,28,ad_impression,,0,0.001070581,AdsUpgrade_Patient,Google AdMob,REWARDED,7/12/2025
IAA,7/18/2025,29b1054e3ac732cee2fd6c0274539d85,4e1f7a6f-f65f-444f-a014-d596e3d035b4,3.1.1,ANDROID,Pakistan,8897,14,,1752771263,6,ad_impression,,0,0.000155804,AdsChangeFahion,APPLOVIN_EXCHANGE,REWARDED,7/17/2025
IAA,7/30/2025,a19a1854f793b4e06b5e42340ffd8496,4ecf0d51-24b5-4cec-be3e-e07a214f6f17,3.1.1,ANDROID,El Salvador,7453,6,,1753823218,2,ad_impression,,0,0.015189191,AdsChangeFahion,AppLovin,REWARDED,7/30/2025
